인증기업목록,,,,,,,,
,,,,,,,,
분류명,업체명,전화번호,기업주소,,,,,
[743] 무기성 토목·건축 자재,(유)군산아스콘,063-467-8101,전라북도 군산시 외항안길 220 (소룡동),,,,,
[743] 무기성 토목·건축 자재,(유)그린환경건설,063-634-8600,전라북도 남원시 사매면 춘향로 807,,,,,
[746] 골재 및 미분말,(유)그린환경건설,063-634-8600,전라북도 남원시 사매면 춘향로 807,,,,,
[766] 종량제 쓰레기 봉투,(유)남주포장산업,061-742-3330,전라남도 순천시 해촌길 42,,,,,
[746] 골재 및 미분말,(유)남해환경,061-281-2000,"전라남도 무안군 삼향읍 삼향중앙로 140-51, 1층",,,,,
[250] 창호 및 창호부속품,(유)대덕기업,010-9435-5336,전라북도 전주시 덕진구 용신길 86,,,,,
[743] 무기성 토목·건축 자재,(유)대산아스콘,063-453-8117,전라북도 군산시 외항안길 300 (소룡동),,,,,
[241] 페인트,(유)도원그린산업,063-834-7322,전라북도 익산시 왕궁면 안림길 31-5,,,,,
[743] 무기성 토목·건축 자재,(유)동성아스콘,063-537-6472,전라북도 전주시 완산구 전주객사3길 49 (고사동),,,,,
[743] 무기성 토목·건축 자재,(유)두이아스콘,061-454-0409,전라남도 무안군 청계면 강정길 67-22,,,,,
[248] 벽 및 천장 마감재,(유)모던라인테크,062-512-6662,"광주광역시 서구 유덕로142번길 15, A(덕흥동)",,,,,
[743] 무기성 토목·건축 자재,(유)문광산업개발,063-861-5341,"전라북도 익산시 낭산면 남천로 529, 1층 1호",,,,,
[210] LED 등기구,(유)사회적기업유비에코,061-273-0068,전라남도 목포시 대양산단로 149번길 28 (대양동),,,,,
[250] 창호 및 창호부속품,(유)삼동산업개발,063-538-1120,전라북도 정읍시 북면 북면공단2길 76,,,,,
[265] 발광다이오드 전광판,(유)삼보정보통신,063-542-1225,전라북도 김제시 서흥공단2길 56(흥사동),,,,,
[743] 무기성 토목·건축 자재,(유)삼성환경건설,063-581-5571,전라북도 부안군 주산면 종유로 140-64,,,,,
[726] 목재.합성수지 복합 성형 제품,(유)삼신테크,063-714-3304,전라북도 군산시 옥구읍 광월길 42,,,,,
[745] 블록·타일·판재류,(유)삼양세라믹,063-546-0570,전라북도 김제시 용지면 서두길 52,,,,,
[724] 생분해성 수지 제품,(유)새한팩,1588--1588-,전라남도 장성군 남면 나노산단3로 19,,,,,
[743] 무기성 토목·건축 자재,(유)서부아스콘,063-832-7830,전라북도 익산시 왕궁면 제석사지로 359,,,,,
[743] 무기성 토목·건축 자재,(유)서원아스콘,063-471-8860,전라북도 군산시 산단로 133-17 (소룡동),,,,,
[608] 탈취제,(유)서진,061-453-6810,전라남도 무안군 청계면 청계공단1길 105-23,,,,,
[608] 탈취제,(유)서진바이오,063-858-9038,전라북도 익산시 번영로8길 76 (목천동),,,,,
[606] 포장재,(유)서호산업,031-842-7209,경기도 동두천시 삼육사로729번길 74-44 (상패동),,,,,
[743] 무기성 토목·건축 자재,(유)성경,063-545-1114,전라북도 김제시 공덕면 유강로 101,,,,,
[743] 무기성 토목·건축 자재,(유)성주환경개발,061-537-3200,전라남도 해남군 해남읍 호교길 73-299,,,,,
[745] 블록·타일·판재류,(유)숲으로,063-571-6705,전라북도 정읍시 신태인읍 연정길 25,,,,,
[743] 무기성 토목·건축 자재,(유)아미산업,063-453-1906,전라북도 군산시 나포면 철새로 374,,,,,
[210] LED 등기구,(유)아이엘에스,063-236-0950,"전라북도 전주시 완산구 영선로 7-50, 1층(중화산동2가)",,,,,
[175] 의자,(유)애니체,062-942-1814,광주광역시 광산구 소촌로 25-12,,,,,
[743] 무기성 토목·건축 자재,(유)양지아스콘,063-467-6005,전라북도 군산시 임해로 269 (소룡동),,,,,
[172] 가구,(유)에스지우드,063-252-0407,전라북도 전주시 덕진구 새논밭길 24,,,,,
[311] 의류,(유)에이케이,--0632132834,"전라북도 전주시 덕진구 구렛들3길 26-5, 3층",,,,,
[250] 창호 및 창호부속품,(유)원진알미늄,063-263-2577,전라북도 완주군 봉동읍 완주산단3로 166,,,,,
[721] 합성수지 제품,(유)이안지오텍,063-862-8884,전라북도 익산시 낭산면 낭산농공단지길 39,,,,,
[743] 무기성 토목·건축 자재,(유)익산아스콘,063-862-2007,전라북도 익산시 낭산면 남천로 545,,,,,
[743] 무기성 토목·건축 자재,(유)일성건설,063-467-2771,전라북도 군산시 외항로 404 (소룡동),,,,,
[743] 무기성 토목·건축 자재,(유)장성이엔티,061-392-1882,전라남도 장성군 동화면 연맥동로 82,,,,,
[746] 골재 및 미분말,(유)장성이엔티,061-392-1882,전라남도 장성군 동화면 연맥동로 82,,,,,
[744] 슬래그 가공 제품,(유)전남보강토,061-901-5000,전라남도 장흥군 장평면 농공단지길 27,,,,,
[606] 포장재,(유)제일에코인,02-6959-4883,경기도 양주시 광적면 현석로720번길 79,,,,,
[250] 창호 및 창호부속품,(유)주원산업개발,063-254-0012,전라북도 전주시 덕진구 신복로 141(팔복동1가),,,,,
[250] 창호 및 창호부속품,(유)진성이엔지,064-744-1711,제주특별자치도 제주시 조천읍 조와로5길 25,,,,,
[250] 창호 및 창호부속품,(유)진우건설,043-647-8851,충청북도 제천시 장평로 124(왕암동),,,,,
[743] 무기성 토목·건축 자재,(유)창명산업,063-581-2544,전라북도 부안군 보안면 종유로 140-96,,,,,
[743] 무기성 토목·건축 자재,(유)천하환경,061-464-3000,"전라남도 영암군 삼호읍 백야길 29-215, 1층",,,,,
[746] 골재 및 미분말,(유)청솔산업,010-6595-5331,전라북도 익산시 함열읍 박전길 43-17,,,,,
[743] 무기성 토목·건축 자재,(유)청솔아스콘,063-323-2755,전라북도 무주군 안성면 진성로 2502-41,,,,,
[724] 생분해성 수지 제품,(유)청우,063-858-2360,"전라북도 익산시 함열읍 익산대로78길 13-6, 방사선융합동205호(스마트융합센터)",,,,,
[608] 탈취제,(유)축산냄새연구소,063-237-0066,"전라북도 완주군 이서면 콩쥐팥쥐로 1043-7, 1동 110호(전북대학교창업보육3센터)",,,,,
[311] 의류,(유)충무타올,042-932-5111,대전광역시 대덕구 방두말3길 8 (평촌동),,,,,
[606] 포장재,(유)타밀,063-634-6464,전라북도 남원시 송동면 용투산로 512,,,,,
[250] 창호 및 창호부속품,(유)태성이앤씨,063-288-4589,전라북도 전주시 완산구 중평길 36 (평화동3가),,,,,
[723] 목재 성형제품,(유)피에스우드,061-454-6103,전라남도 무안군 청계면 청계공단1길 105-23,,,,,
[210] LED 등기구,(유)하이에스텍,032-624-4881,"경기도 부천시 석천로 397, 102동 1313호(삼정동,부천테크노파크쌍용3차)",,,,,
[250] 창호 및 창호부속품,(유)한국메탈,061-278-3831,"전라남도 목포시 공단중앙로 28, 1층 (연산동)",,,,,
[250] 창호 및 창호부속품,(유)한빛글로벌,063-918-7042,전라북도 익산시 석치길 40-11 (석왕동),,,,,
[245] 투수 콘크리트 제품,(유)한스,063-548-6000,전라북도 김제시 서흥공단1길 38,,,,,
[745] 블록·타일·판재류,(유)한스,063-548-6000,전라북도 김제시 서흥공단1길 38,,,,,
[210] LED 등기구,(유)현대시스템,063-643-1688,"전라북도 전주시 완산구 영경2길 11, 2층(중화산동2가)",,,,,
[745] 블록·타일·판재류,(유)현영,063-571-2215,전라북도 정읍시 감곡면 흥방길 35,,,,,
[743] 무기성 토목·건축 자재,(유)협성,063-463-7920,전라북도 군산시 외항로 901 (오식도동),,,,,
[743] 무기성 토목·건축 자재,(유)호경,063-262-1114,전라북도 완주군 봉동읍 봉동로 129,,,,,
[746] 골재 및 미분말,(자)금강개발,033-747-2680,강원도 원주시 지정면 질마재로 24-11,,,,,
[245] 투수 콘크리트 제품,(자)동일콘크리트,055-331-6668,경상남도 김해시 상동면 소락로 159,,,,,
[745] 블록·타일·판재류,(자)동일콘크리트,055-331-6668,경상남도 김해시 상동면 소락로 159,,,,,
[250] 창호 및 창호부속품,(자)연합공사,041-664-6667,충청남도 서산시 음암면 동암마을길 253,,,,,
[210] LED 등기구,(주) 대한조명,031-595-2998,경기도 남양주시 화도읍 경춘로 2273,,,,,
[745] 블록·타일·판재류,(주) 동원콘크리트,031-533-0912,경기도 포천시 일동면 영일로534번길 26,,,,,
[721] 합성수지 제품,(주) 서인산업,054-931-0993,경상북도 성주군 용암면 덕평로 98,,,,,
[210] LED 등기구,(주) 성원시스템,044-866-8138,"세종특별자치시 부강면 부강로 29-11,대신하나로아파트상가 1동 2층 1호",,,,,
[221] 수도꼭지,(주) 하츠,02-3438-6700,경기도 평택시 진위면 동부대로 202,,,,,
[245] 투수 콘크리트 제품,(주)88콘크리트,032-461-8802,"경기도 화성시 장안면 수정로 218-31 (,16)",,,,,
[245] 투수 콘크리트 제품,(주)88콘크리트 조암공장,031-358-8856,경기도 화성시 장안면 금의솔안길 180,,,,,
[745] 블록·타일·판재류,(주)88콘크리트 조암공장,031-358-8856,경기도 화성시 장안면 금의솔안길 180,,,,,
[252] 장식용 합성수지 시트,(주)E&G(이앤지),02-6281-8461,"서울특별시 송파구 법원로11길 25, B동 4층 409호 (문정동, 에이치비지니스파크)",,,,,
[744] 슬래그 가공 제품,(주)SIMPAC,041-360-0100,인천광역시 부평구 부평북로 141(청천동),,,,,
[251] 접착제,(주)SNOGEN,041-553-8001,충청남도 천안시 동남구 광덕면 세종로 4162,,,,,
[723] 목재 성형제품,(주)SUN&L,032-770-3000,인천광역시 중구 월미로 96,,,,,
[746] 골재 및 미분말,(주)가나개발,031-8059-0029,경기도 화성시 정남면 시청로 1560-42,,,,,
[746] 골재 및 미분말,(주)가남환경,051-262-3511,부산광역시 사하구 다산로208번길 38 (장림동),,,,,
[608] 탈취제,(주)가디안,02-756-3931,"경기도 성남시 수정구 위례광장로 300, 1동 1307-1호 (창곡동, 위례중앙역 중앙타워)",,,,,
[248] 벽 및 천장 마감재,(주)가란타코리아,061-331-8118,"전라남도 나주시 동수농공단지길 62-191, 가동 B호 (운곡동)",,,,,
[723] 목재 성형제품,(주)가란타코리아,061-331-8118,"전라남도 나주시 동수농공단지길 62-191, 가동 B호 (운곡동)",,,,,
[724] 생분해성 수지 제품,(주)가람화학,031-997-0030,경기도 김포시 양촌읍 황금2로 92,,,,,
[246] 실내용 바닥 장식재,(주)가연인더스,031-8049-0080,"경기도 김포시 김포한강10로133번길 127, 4층 427호 (구래동, 디원시티)",,,,,
[102] 사무용지,(주)가온산업,031-356-0507,경기도 화성시 마도면 마도공단로3길 7-16 (1층(아인스프라자)),,,,,
[246] 실내용 바닥 장식재,(주)가온우드,063-432-0400,전라북도 진안군 진안읍 홍삼한방로 9-27,,,,,
[248] 벽 및 천장 마감재,(주)가온우드,063-432-0400,전라북도 진안군 진안읍 홍삼한방로 9-27,,,,,
[223] 대변기,(주)가우세라믹,02-3444-2571,경기도 남양주시 와부읍 석실로488번길 4-31 1층,,,,,
[252] 장식용 합성수지 시트,(주)가이오,031-356-3547,경기도 화성시 남양읍 신남로 258,,,,,
[724] 생분해성 수지 제품,(주)가진바이오텍,031-544-9407,경기도 포천시 가산면 마정로70번길 8,,,,,
[321] 화장지,(주)각시피앤씨,031-427-7533,경기도 군포시 산본로 63 (당정동),,,,,
[172] 가구,(주)갑일오피스,055-323-8881,경상남도 김해시 생림면 나전로161번길 149,,,,,
[743] 무기성 토목·건축 자재,(주)강동아스콘,061-762-2001,전라남도 광양시 광양읍 직동2길 15,,,,,
[246] 실내용 바닥 장식재,(주)강산이엔지,02-3296-0482,"서울특별시 도봉구 도봉로110라길 70-11, 3층(창동)",,,,,
[205] 방전램프용 안정기,(주)강산조명,043-881-1261,충청북도 음성군 삼성면 대성로380번길 108-5,,,,,
[210] LED 등기구,(주)강산조명,043-881-1261,충청북도 음성군 삼성면 대성로380번길 108-5,,,,,
[241] 페인트,(주)강우건설,041-545-7683,충청남도 아산시 도고면 온천대로 477 1층,,,,,
[250] 창호 및 창호부속품,(주)강화테크,063-213-5953,"전라북도 전주시 덕진구 기린대로 945-5, 2층 204호(팔복동2가)",,,,,
[746] 골재 및 미분말,(주)개미환경,063-835-8041,전라북도 익산시 왕궁면 왕궁로 259,,,,,
[250] 창호 및 창호부속품,(주)거광기업,02-515-9600,"서울특별시 강남구 봉은사로 219, 4층(논현동, 두남빌딩)",,,,,
[257] 인조 잔디 및 인조 잔디 구성 부품,(주)거북이,041-662-4006,충청남도 서산시 고북면 고수관로 17-39,,,,,
[172] 가구,(주)거성산업,031-766-2802,경기도 광주시 오포읍 오포로 650-6,,,,,
[483] 침대,(주)거성산업,031-766-2802,경기도 광주시 오포읍 오포로 650-6,,,,,
[250] 창호 및 창호부속품,(주)거평기업,062-362-5577,경상남도 진주시 진산로 407,,,,,
[608] 탈취제,(주)건농,031-356-3810,경기도 화성시 서신면 전곡산단13길 23,,,,,
[241] 페인트,(주)건명테크윈,031-217-5770,"경기도 용인시 기흥구 흥덕1로 13, 13층(영덕동, 흥덕아이티밸리 제타워동 제13층 제에이1301호)",,,,,
[210] LED 등기구,(주)건승,031-988-6998,"인천광역시 서구 보듬로 158 공존동 219호(오류동,블루텍)",,,,,
[250] 창호 및 창호부속품,(주)건원,055-521-6355,경상남도 창녕군 남지읍 남지공단길 9,,,,,
[210] LED 등기구,(주)건원이에프티,033-334-5962,강원도 평창군 방림면 평창대로 84-23,,,,,
[241] 페인트,(주)건융,02-2281-5343,"서울특별시 성동구 청계천로 484 (홍익동, 203,204호)",,,,,
[721] 합성수지 제품,(주)건화,055-391-2750,"부산광역시 남구 자성로 152, 1803호(문현동, 한일오피스텔)",,,,,
[743] 무기성 토목·건축 자재,(주)검단아스콘,032-719-7000,인천광역시 서구 도담3로 9 (오류동),,,,,
[101] 인쇄용지,(주)경기도장애인기업,031-576-0880,경기도 남양주시 화도읍 재재기로 158,,,,,
[102] 사무용지,(주)경기도장애인기업,031-576-0880,경기도 남양주시 화도읍 재재기로 158,,,,,
[321] 화장지,(주)경기도장애인기업,031-576-0880,경기도 남양주시 화도읍 재재기로 158,,,,,
[250] 창호 및 창호부속품,(주)경남윈스텍,031-766-6410,경기도 광주시 광남안로 104-20 2층,,,,,
[744] 슬래그 가공 제품,(주)경도,061-751-0487,전라남도 순천시 낙안면 옥지길 8,,,,,
[261] 가스 보일러,(주)경동나비엔,031-8060-5595,경기도 평택시 서탄면 수월암길 95,,,,,
[243] 보온·단열재,(주)경동원,02-559-6224,서울특별시 영등포구 국회대로76길 22 (여의도동),,,,,
[743] 무기성 토목·건축 자재,(주)경동원,02-559-6224,서울특별시 영등포구 국회대로76길 22 (여의도동),,,,,
[745] 블록·타일·판재류,(주)경북맨홀,054-653-1140,경상북도 예천군 보문면 산단길 65,,,,,
[723] 목재 성형제품,(주)경신,055-346-0011,경상남도 김해시 한림면 한림로343번길 39-16,,,,,
[241] 페인트,(주)경암이앤씨,031-564-9524,경기도 포천시 내촌면 부마로291번길 10,,,,,
[250] 창호 및 창호부속품,(주)경연,051-365-3693,"부산광역시 강서구 명지국제7로 37, 오피스텔동 1506호(명지동, 더샵명지퍼스트월드 2단지)",,,,,
[745] 블록·타일·판재류,(주)경영산업,054-932-0228,"경상북도 성주군 월항면 월항지방공단길 18, 1층",,,,,
[243] 보온·단열재,(주)경우단열,02-402-9242,"서울특별시 송파구 문정로 145 (가락동, 대정빌딩 5층)",,,,,
[250] 창호 및 창호부속품,(주)경원알미늄,042-825-0907,대전광역시 유성구 교촌대정로 202 (대정동),,,,,
[608] 탈취제,(주)경인씨엔씨,063-715-2900,전라북도 군산시 서수면 상장곤윗길 54,,,,,
[241] 페인트,(주)경일,02-481-8601,"충청북도 옥천군 청성면 양저로 397, 2층",,,,,
[743] 무기성 토목·건축 자재,(주)경일산업,064-764-7200,제주특별자치도 서귀포시 남원읍 남조로 871-43,,,,,
[210] LED 등기구,(주)경현,062-526-1280,광주광역시 북구 서암대로 136 2층,,,,,
[250] 창호 및 창호부속품,(주)경화창호산업,053-801-3030,경상북도 경산시 자인면 계남길 73,,,,,
[177] 학생용 책상 및 의자,(주)계림퍼니처,052-225-0105,울산광역시 울주군 웅촌면 물건너길 25-6 계림퍼니처,,,,,
[724] 생분해성 수지 제품,(주)고든비엘씨,02-402-9076,"서울특별시 송파구 동남로 108, 4층 에프07호(문정동, 모즈아웃렛)",,,,,
[608] 탈취제,(주)고려비엔피,031-478-5562,"충청남도 예산군 신암면 추사로 235-9, 1층",,,,,
[743] 무기성 토목·건축 자재,(주)고령기와,054-954-8000,경상북도 고령군 개진면 개경포로 897-9,,,,,
[322] 방향제,(주)고리,031-227-1493,경기도 화성시 봉담읍 동산재길 54,,,,,
[244] 건설용 방수재,(주)고뫄스방수,--,"서울특별시 용산구 한남대로11길 12 (한남동,고뫄스빌딩)",,,,,
[241] 페인트,(주)고양이엔씨,031-908-0132,"인천광역시 미추홀구 한나루로 604.1701호(도화동,롯데월드타워)",,,,,
[721] 합성수지 제품,(주)골든포우,063-858-0572,충청남도 천안시 서북구 성환읍 가룡길 15,,,,,
[248] 벽 및 천장 마감재,(주)공간너머,070-4814-3336,강원도 강릉시 입암로 15-6,,,,,
[723] 목재 성형제품,(주)공간너머,070-4814-3336,강원도 강릉시 입암로 15-6,,,,,
[745] 블록·타일·판재류,(주)공간세라믹,031-671-1661,경기도 안성시 미양면 미양로 156,,,,,
[248] 벽 및 천장 마감재,(주)공간큐비클,02-508-1072,경기도 김포시 통진읍 옹정로 64-51,,,,,
[723] 목재 성형제품,(주)공간큐비클,02-508-1072,경기도 김포시 통진읍 옹정로 64-51,,,,,
[743] 무기성 토목·건축 자재,(주)광명,054-232-8414,경상북도 포항시 북구 청하면 동해대로 2092,,,,,
[248] 벽 및 천장 마감재,(주)광성테크,031-998-9301,경기도 김포시 통진읍 가현로4번길 29-41,,,,,
[611] 윤활유,(주)광우,054-727-0105,경상북도 포항시 남구 장흥로 131 (장흥동),,,,,
[321] 화장지,(주)광진산업,041-754-1305,충청남도 금산군 추부면 추풍로 146,,,,,
[745] 블록·타일·판재류,(주)광호산업,061-335-0007,전라남도 나주시 동수농공단지길 137-18,,,,,
[265] 발광다이오드 전광판,(주)광희테크윈,063-543-1925,전라북도 김제시 봉남면 신호1길 9,,,,,
[724] 생분해성 수지 제품,(주)교린,031-342-8919,"경기도 안양시 동안구 시민대로 167, 812호(비산동, 안양벤처텔)",,,,,
[766] 종량제 쓰레기 봉투,(주)교린,031-342-8919,"경기도 안양시 동안구 시민대로 167, 812호(비산동, 안양벤처텔)",,,,,
[606] 포장재,(주)구룡,043-853-5115,충청북도 제천시 금성면 청풍호로24길 9,,,,,
[265] 발광다이오드 전광판,(주)구성이엔씨,061-392-7901,"전라남도 장성군 남면 나노산단2로 133, 1층",,,,,
[210] LED 등기구,(주)국민조명,031-497-2973,"경기도 안산시 단원구 지원로 95 (성곡동, 5라408호)",,,,,
[250] 창호 및 창호부속품,(주)국보이엔씨,033-241-2578,강원도 춘천시 동면 공단로70번길 20-10,,,,,
[305] 다목적 세정제,(주)국보환경산업,010-9916-5605,"부산광역시 남구 고동골로78번길 69, 2층 (문현동)",,,,,
[746] 골재 및 미분말,(주)국제플라텍,054-335-0255,경상북도 영천시 고경면 차당실로 122-33,,,,,
[304] 업소용 식기세척기용 세제,(주)굿모닝케미칼,031-433-8746,"경기도 시흥시 공단1대로 27번길 25 (정왕동, 시화공단 1나 205호)",,,,,
[261] 가스 보일러,(주)귀뚜라미,054-370-9000,경상북도 청도군 청도읍 월곡2길 34,,,,,
[261] 가스 보일러,(주)귀뚜라미-아산공장,041-530-3519,충청남도 아산시 탕정면 음봉로 850,,,,,
[241] 페인트,(주)규조토월드,043-421-6754,충청북도 단양군 대강면 대강농공길 16-3,,,,,
[483] 침대,(주)그랜드침대,031-945-2233,경기도 파주시 광탄면 샘우골길 234,,,,,
[245] 투수 콘크리트 제품,(주)그랜드코단,02-575-0450,"서울특별시 강남구 논현로16길 17, 2층 201호(개포동, 대성빌딩)",,,,,
[745] 블록·타일·판재류,(주)그랜드코단,02-575-0450,"서울특별시 강남구 논현로16길 17, 2층 201호(개포동, 대성빌딩)",,,,,
